PARKID,NAME,CITY,STATE,START,END,LEAGUE,AKA
CLE06,League Park IV,Cleveland,OH,19100421,19460921,AL,Dunn Field; Somers Park
CLE07,Cleveland Stadium,Cleveland,OH,19320731,19931003,AL,Municipal Stadium; Lake Front Stadium
CLE08,Progressive Field,Cleveland,OH,19940404,,AL,Jacobs Field; The Jake
CLE09,Cedar Avenue Driving Park,Cleveland,OH,18870821,18870821,AA,
CLL01,Euclid Beach Park,Collinwood,OH,18980612,18980619,NL,
COL01,Recreation Park I,Columbus,OH,18830501,18840922,AA,
COL02,Recreation Park II,Columbus,OH,18890428,18910922,AA,
COL03,Neil Park I,Columbus,OH,19020803,19030517,AL,
COL04,Neil Park II,Columbus,OH,19050723,19050724,AL,
COV01,Star Baseball Park,Covington,KY,18750921,18750921,NA,Covington Base Ball Park; Star Grounds; Star Skating Rink and Base Ball Grounds
DAY01,Fairview Park,Dayton,OH,19020608,19020608,AL,
DEN01,Mile High Stadium,Denver,CO,19930409,19940811,NL,
DEN02,Coors Field,Denver,CO,19950426,,NL,
DET01,Recreation Park,Detroit,MI,18810502,18900923,NL,
DET02,Bennett Park,Detroit,MI,19010425,19110910,AL,Woodbridge Grove; The Haymarket
DET03,Burns Park,Detroit,MI,19010428,19020907,AL,West End Park
DET04,Tiger Stadium,Detroit,MI,19120420,19990927,AL,Navin Field; Briggs Stadium
DET05,Comerica Park,Detroit,MI,20000411,,AL,
DOV01,Fairview Park Fair Grounds,Dover,DE,18750624,18750624,NA,Dover Grounds
ELM01,Maple Avenue Driving Park,Elmira,NY,18851010,18851010,NL,Elmira Grounds
FOR01,Grand Duchess,Fort Wayne,IN,18710504,18710829,NA,Kekionga Base Ball Grounds
FOR03,Jailhouse Flats,Fort Wayne,IN,19020622,19020831,AL,Swinney Park; Jail Flats
GEA01,Geauga Lake Grounds,Geauga Lake,OH,18880722,18880826,AA,
GLO01,Gloucester Point Grounds,Gloucester City,NJ,18880805,18901012,AA,
GRA01,Ramona Park,Grand Rapids,MI,19030524,19030524,AL,Ramona Athletic Park
HAR01,Harrison Field,Harrison,NJ,19150416,19151003,FL,Federal League Park; Harrison Park; Peppers Park
HON01,Aloha Stadium,Honolulu,HI,19970419,19970420,NL,
HOU01,Colt Stadium,Houston,TX,19620410,19640927,NL,
HOU02,Astrodome,Houston,TX,19650412,19991003,NL,Harris County Domed Stadium
HOU03,Minute Maid Park,Houston,TX,20000407,,NL,Enron Field; Astros Field
HRT01,Hartford Ball Club Grounds,Hartford,CT,18740501,18760916,,
HRT02,Hartford Trotting Park,Hartford,CT,18720621,18720809,NA,
IND01,South Street Park,Indianapolis,IN,18780501,18780913,NL,National League Park ; Athletic Park
IND02,Seventh Street Park I,Indianapolis,IN,18840514,18850915,AA,Athletic Park
IND03,Bruce Grounds,Indianapolis,IN,18840518,18840921,AA,Fourth Street Grounds
IND04,Seventh Street Park II,Indianapolis,IN,18870428,18871008,NL,Athletic Park
IND05,Seventh Street Park III,Indianapolis,IN,18880420,18891005,NL,Athletic Park
IND06,Indianapolis Park,Indianapolis,IN,18900728,18900802,NL,
IND07,Federal League Park,Indianapolis,IN,19140423,19141008,FL,Greenlawn Park
IRO01,Windsor Beach Grounds,Irondequoit,NY,18900511,18900720,AA,
JER01,Oakland Park,Jersey City,NJ,18890424,18890425,NL,Oakland Athletic Association Field
JER02,Roosevelt Stadium,Jersey City,NJ,19560419,19570903,NL,
KAN01,Athletic Park,Kansas City,MO,18840607,18841019,UA,
KAN02,Association Park,Kansas City,MO,18860430,18880929,,The Hole; League Park
KAN03,Exposition Park,Kansas City,MO,18880930,18921015,AA,
KAN04,Gordon and Koppel Field,Kansas City,MO,19140416,19150928,FL,Federal League Park
KAN05,Municipal Stadium,Kansas City,MO,19550412,19721004,AL,
KAN06,Kauffman Stadium,Kansas City,MO,19730410,,AL,Royals Stadium
KEO01,Perry Park,Keokuk,IA,18750504,18750614,NA,Walte's Pasture
LAS01,Cashman Field,Las Vegas,NV,19960401,19960407,AL,
LBV01,Champion Stadium,Lake Buena Vista,FL,20070515,20080424,AL,The Ballpark at Disney's Wide World; Disney Field; Cracker Jack Stadium
LOS01,Los Angeles Memorial Coliseum,Los Angeles,CA,19580418,19610920,NL,Los Angeles Colisuem; Memorial Coliseum
LOS02,Wrigley Field,Los Angeles,CA,19610427,19611001,AL,
